group,nest,workers,week,weight
C,1,14,1,22
C,1,14,2,59
C,1,14,3,86
C,1,14,4,141
C,1,14,5,183
C,1,14,6,185
C,1,14,7,173
C,1,14,8,135
C,1,14,9,75
C,2,10,1,24
C,2,10,2,46
C,2,10,3,99
C,2,10,4,125
C,2,10,5,180
C,2,10,6,174
C,2,10,7,49
C,2,10,8,117
C,2,10,9,102
C,3,17,1,21
C,3,17,2,64
C,3,17,3,78
C,3,17,4,101
C,3,17,5,156
C,3,17,6,167
C,3,17,7,100
C,3,17,8,35
C,3,17,9,32
C,4,16,1,32
C,4,16,2,64
C,4,16,3,96
C,4,16,4,109
C,4,16,5,151
C,4,16,6,136
C,4,16,7,39
C,4,16,8,60
C,4,16,9,61
C,5,14,1,29
C,5,14,2,63
C,5,14,3,81
C,5,14,4,108
C,5,14,5,163
C,5,14,6,141
C,5,14,7,127
C,5,14,8,57
C,5,14,9,35
C,6,20,1,17
C,6,20,2,63
C,6,20,3,78
C,6,20,4,118
C,6,20,5,153
C,6,20,6,137
C,6,20,7,17
C,6,20,8,18
C,6,20,9,12
C,7,19,1,22
C,7,19,2,53
C,7,19,3,94
C,7,19,4,116
C,7,19,5,157
C,7,19,6,132
C,7,19,7,129
C,7,19,8,135
C,7,19,9,80
C,8,15,1,21
C,8,15,2,30
C,8,15,3,59
C,8,15,4,104
C,8,15,5,155
C,8,15,6,140
C,8,15,7,104
C,8,15,8,58
C,8,15,9,44
C,9,19,1,33
C,9,19,2,51
C,9,19,3,72
C,9,19,4,101
C,9,19,5,119
C,9,19,6,96
C,9,19,7,125
C,9,19,8,85
C,9,19,9,15
C,10,13,1,29
C,10,13,2,61
C,10,13,3,84
C,10,13,4,106
C,10,13,5,159
C,10,13,6,146
C,10,13,7,147
C,10,13,8,111
C,10,13,9,74
T1,11,12,1,23
T1,11,12,2,69
T1,11,12,3,91
T1,11,12,4,113
T1,11,12,5,156
T1,11,12,6,186
T1,11,12,7,181
T1,11,12,8,177
T1,11,12,9,173
T1,12,13,1,31
T1,12,13,2,58
T1,12,13,3,94
T1,12,13,4,107
T1,12,13,5,123
T1,12,13,6,36
T1,12,13,7,24
T1,12,13,8,22
T1,12,13,9,13
T1,13,17,1,24
T1,13,17,2,50
T1,13,17,3,80
T1,13,17,4,99
T1,13,17,5,141
T1,13,17,6,117
T1,13,17,7,43
T1,13,17,8,36
T1,13,17,9,19
T1,14,14,1,26
T1,14,14,2,31
T1,14,14,3,55
T1,14,14,4,70
T1,14,14,5,85
T1,14,14,6,12
T1,14,14,7,5
T1,14,14,8,3
T1,14,14,9,NA
T1,15,16,1,31
T1,15,16,2,40
T1,15,16,3,67
T1,15,16,4,94
T1,15,16,5,101
T1,15,16,6,98
T1,15,16,7,94
T1,15,16,8,72
T1,15,16,9,33
T1,16,17,1,22
T1,16,17,2,42
T1,16,17,3,71
T1,16,17,4,87
T1,16,17,5,109
T1,16,17,6,59
T1,16,17,7,38
T1,16,17,8,32
T1,16,17,9,21
T1,17,18,1,41
T1,17,18,2,83
T1,17,18,3,114
T1,17,18,4,133
T1,17,18,5,197
T1,17,18,6,98
T1,17,18,7,80
T1,17,18,8,71
T1,17,18,9,68
T1,18,15,1,24
T1,18,15,2,61
T1,18,15,3,83
T1,18,15,4,98
T1,18,15,5,136
T1,18,15,6,94
T1,18,15,7,70
T1,18,15,8,61
T1,18,15,9,43
T1,19,14,1,26
T1,19,14,2,70
T1,19,14,3,86
T1,19,14,4,118
T1,19,14,5,165
T1,19,14,6,135
T1,19,14,7,97
T1,19,14,8,104
T1,19,14,9,96
T1,20,10,1,24
T1,20,10,2,26
T1,20,10,3,49
T1,20,10,4,72
T1,20,10,5,85
T1,20,10,6,37
T1,20,10,7,20
T1,20,10,8,28
T1,20,10,9,18
T2,21,19,1,35
T2,21,19,2,63
T2,21,19,3,92
T2,21,19,4,133
T2,21,19,5,159
T2,21,19,6,80
T2,21,19,7,63
T2,21,19,8,56
T2,21,19,9,35
T2,22,19,1,15
T2,22,19,2,39
T2,22,19,3,83
T2,22,19,4,124
T2,22,19,5,148
T2,22,19,6,81
T2,22,19,7,51
T2,22,19,8,68
T2,22,19,9,53
T2,23,16,1,28
T2,23,16,2,57
T2,23,16,3,81
T2,23,16,4,104
T2,23,16,5,137
T2,23,16,6,102
T2,23,16,7,77
T2,23,16,8,66
T2,23,16,9,48
T2,24,17,1,20
T2,24,17,2,56
T2,24,17,3,87
T2,24,17,4,109
T2,24,17,5,145
T2,24,17,6,100
T2,24,17,7,61
T2,24,17,8,43
T2,24,17,9,35
T2,25,19,1,37
T2,25,19,2,54
T2,25,19,3,76
T2,25,19,4,95
T2,25,19,5,137
T2,25,19,6,99
T2,25,19,7,47
T2,25,19,8,44
T2,25,19,9,25
T2,26,20,1,32
T2,26,20,2,65
T2,26,20,3,82
T2,26,20,4,124
T2,26,20,5,199
T2,26,20,6,173
T2,26,20,7,165
T2,26,20,8,127
T2,26,20,9,116
T2,27,13,1,32
T2,27,13,2,60
T2,27,13,3,82
T2,27,13,4,92
T2,27,13,5,96
T2,27,13,6,79
T2,27,13,7,52
T2,27,13,8,31
T2,27,13,9,NA
T2,28,12,1,40
T2,28,12,2,47
T2,28,12,3,61
T2,28,12,4,104
T2,28,12,5,136
T2,28,12,6,90
T2,28,12,7,46
T2,28,12,8,39
T2,28,12,9,35
T2,29,15,1,23
T2,29,15,2,38
T2,29,15,3,71
T2,29,15,4,96
T2,29,15,5,139
T2,29,15,6,100
T2,29,15,7,71
T2,29,15,8,59
T2,29,15,9,55
T2,30,18,1,28
T2,30,18,2,49
T2,30,18,3,91
T2,30,18,4,100
T2,30,18,5,99
T2,30,18,6,95
T2,30,18,7,82
T2,30,18,8,58
T2,30,18,9,42
T3,31,20,1,42
T3,31,20,2,75
T3,31,20,3,92
T3,31,20,4,123
T3,31,20,5,140
T3,31,20,6,115
T3,31,20,7,80
T3,31,20,8,68
T3,31,20,9,54
T3,32,19,1,22
T3,32,19,2,51
T3,32,19,3,85
T3,32,19,4,124
T3,32,19,5,150
T3,32,19,6,113
T3,32,19,7,60
T3,32,19,8,39
T3,32,19,9,32
T3,33,11,1,16
T3,33,11,2,37
T3,33,11,3,70
T3,33,11,4,103
T3,33,11,5,139
T3,33,11,6,83
T3,33,11,7,66
T3,33,11,8,59
T3,33,11,9,46
T3,34,17,1,25
T3,34,17,2,42
T3,34,17,3,64
T3,34,17,4,101
T3,34,17,5,99
T3,34,17,6,75
T3,34,17,7,50
T3,34,17,8,44
T3,34,17,9,NA
T3,35,18,1,22
T3,35,18,2,49
T3,35,18,3,82
T3,35,18,4,95
T3,35,18,5,137
T3,35,18,6,92
T3,35,18,7,85
T3,35,18,8,71
T3,35,18,9,56
T3,36,20,1,34
T3,36,20,2,68
T3,36,20,3,90
T3,36,20,4,126
T3,36,20,5,152
T3,36,20,6,109
T3,36,20,7,84
T3,36,20,8,68
T3,36,20,9,59
T3,37,10,1,33
T3,37,10,2,42
T3,37,10,3,70
T3,37,10,4,91
T3,37,10,5,105
T3,37,10,6,73
T3,37,10,7,60
T3,37,10,8,45
T3,37,10,9,NA
T3,38,17,1,17
T3,38,17,2,37
T3,38,17,3,69
T3,38,17,4,103
T3,38,17,5,127
T3,38,17,6,66
T3,38,17,7,51
T3,38,17,8,42
T3,38,17,9,34
T3,39,16,1,37
T3,39,16,2,64
T3,39,16,3,105
T3,39,16,4,126
T3,39,16,5,158
T3,39,16,6,102
T3,39,16,7,97
T3,39,16,8,87
T3,39,16,9,80
T3,40,19,1,34
T3,40,19,2,40
T3,40,19,3,66
T3,40,19,4,103
T3,40,19,5,142
T3,40,19,6,83
T3,40,19,7,64
T3,40,19,8,43
T3,40,19,9,36
T4,41,17,1,45
T4,41,17,2,61
T4,41,17,3,86
T4,41,17,4,95
T4,41,17,5,155
T4,41,17,6,181
T4,41,17,7,173
T4,41,17,8,130
T4,41,17,9,70
T4,42,18,1,16
T4,42,18,2,47
T4,42,18,3,82
T4,42,18,4,109
T4,42,18,5,140
T4,42,18,6,44
T4,42,18,7,14
T4,42,18,8,15
T4,42,18,9,16
T4,43,13,1,42
T4,43,13,2,60
T4,43,13,3,98
T4,43,13,4,139
T4,43,13,5,165
T4,43,13,6,108
T4,43,13,7,88
T4,43,13,8,66
T4,43,13,9,33
T4,44,17,1,19
T4,44,17,2,37
T4,44,17,3,66
T4,44,17,4,107
T4,44,17,5,138
T4,44,17,6,55
T4,44,17,7,40
T4,44,17,8,23
T4,44,17,9,14
T4,45,16,1,17
T4,45,16,2,58
T4,45,16,3,91
T4,45,16,4,105
T4,45,16,5,126
T4,45,16,6,48
T4,45,16,7,54
T4,45,16,8,44
T4,45,16,9,36
T4,46,12,1,21
T4,46,12,2,46
T4,46,12,3,81
T4,46,12,4,99
T4,46,12,5,114
T4,46,12,6,60
T4,46,12,7,53
T4,46,12,8,35
T4,46,12,9,27
T4,47,16,1,19
T4,47,16,2,28
T4,47,16,3,44
T4,47,16,4,60
T4,47,16,5,73
T4,47,16,6,55
T4,47,16,7,36
T4,47,16,8,27
T4,47,16,9,12
T4,48,13,1,22
T4,48,13,2,27
T4,48,13,3,54
T4,48,13,4,76
T4,48,13,5,97
T4,48,13,6,93
T4,48,13,7,72
T4,48,13,8,65
T4,48,13,9,49
T4,49,20,1,17
T4,49,20,2,49
T4,49,20,3,72
T4,49,20,4,83
T4,49,20,5,91
T4,49,20,6,68
T4,49,20,7,44
T4,49,20,8,37
T4,49,20,9,41
T4,50,12,1,29
T4,50,12,2,52
T4,50,12,3,80
T4,50,12,4,106
T4,50,12,5,122
T4,50,12,6,40
T4,50,12,7,32
T4,50,12,8,27
T4,50,12,9,15
T5,51,17,1,15
T5,51,17,2,34
T5,51,17,3,60
T5,51,17,4,92
T5,51,17,5,124
T5,51,17,6,92
T5,51,17,7,59
T5,51,17,8,33
T5,51,17,9,23
T5,52,19,1,31
T5,52,19,2,56
T5,52,19,3,85
T5,52,19,4,121
T5,52,19,5,124
T5,52,19,6,97
T5,52,19,7,72
T5,52,19,8,60
T5,52,19,9,30
T5,53,14,1,36
T5,53,14,2,44
T5,53,14,3,74
T5,53,14,4,87
T5,53,14,5,119
T5,53,14,6,101
T5,53,14,7,66
T5,53,14,8,41
T5,53,14,9,20
T5,54,15,1,19
T5,54,15,2,36
T5,54,15,3,61
T5,54,15,4,82
T5,54,15,5,122
T5,54,15,6,75
T5,54,15,7,61
T5,54,15,8,54
T5,54,15,9,29
T5,55,18,1,35
T5,55,18,2,52
T5,55,18,3,74
T5,55,18,4,109
T5,55,18,5,131
T5,55,18,6,72
T5,55,18,7,77
T5,55,18,8,37
T5,55,18,9,28
T5,56,11,1,21
T5,56,11,2,40
T5,56,11,3,71
T5,56,11,4,109
T5,56,11,5,126
T5,56,11,6,63
T5,56,11,7,41
T5,56,11,8,33
T5,56,11,9,30
T5,57,13,1,24
T5,57,13,2,77
T5,57,13,3,108
T5,57,13,4,117
T5,57,13,5,129
T5,57,13,6,181
T5,57,13,7,161
T5,57,13,8,140
T5,57,13,9,124
T5,58,18,1,16
T5,58,18,2,58
T5,58,18,3,93
T5,58,18,4,108
T5,58,18,5,152
T5,58,18,6,69
T5,58,18,7,56
T5,58,18,8,41
T5,58,18,9,34
T5,59,20,1,18
T5,59,20,2,61
T5,59,20,3,82
T5,59,20,4,91
T5,59,20,5,124
T5,59,20,6,100
T5,59,20,7,69
T5,59,20,8,44
T5,59,20,9,39
T5,60,10,1,28
T5,60,10,2,42
T5,60,10,3,77
T5,60,10,4,97
T5,60,10,5,125
T5,60,10,6,66
T5,60,10,7,52
T5,60,10,8,29
T5,60,10,9,21
T6,61,13,1,21
T6,61,13,2,50
T6,61,13,3,94
T6,61,13,4,137
T6,61,13,5,168
T6,61,13,6,101
T6,61,13,7,98
T6,61,13,8,86
T6,61,13,9,28
T6,62,21,1,29
T6,62,21,2,53
T6,62,21,3,85
T6,62,21,4,114
T6,62,21,5,177
T6,62,21,6,166
T6,62,21,7,80
T6,62,21,8,67
T6,62,21,9,26
T6,63,16,1,14
T6,63,16,2,45
T6,63,16,3,72
T6,63,16,4,76
T6,63,16,5,148
T6,63,16,6,67
T6,63,16,7,29
T6,63,16,8,13
T6,63,16,9,NA
T6,64,10,1,38
T6,64,10,2,50
T6,64,10,3,81
T6,64,10,4,131
T6,64,10,5,197
T6,64,10,6,158
T6,64,10,7,79
T6,64,10,8,64
T6,64,10,9,20
T6,65,16,1,23
T6,65,16,2,66
T6,65,16,3,94
T6,65,16,4,124
T6,65,16,5,145
T6,65,16,6,132
T6,65,16,7,118
T6,65,16,8,72
T6,65,16,9,48
T6,66,19,1,24
T6,66,19,2,46
T6,66,19,3,75
T6,66,19,4,105
T6,66,19,5,159
T6,66,19,6,152
T6,66,19,7,188
T6,66,19,8,169
T6,66,19,9,154
T6,67,20,1,24
T6,67,20,2,68
T6,67,20,3,96
T6,67,20,4,132
T6,67,20,5,121
T6,67,20,6,88
T6,67,20,7,54
T6,67,20,8,35
T6,67,20,9,13
T6,68,13,1,25
T6,68,13,2,50
T6,68,13,3,80
T6,68,13,4,110
T6,68,13,5,89
T6,68,13,6,68
T6,68,13,7,62
T6,68,13,8,40
T6,68,13,9,22
T6,69,20,1,21
T6,69,20,2,59
T6,69,20,3,83
T6,69,20,4,111
T6,69,20,5,144
T6,69,20,6,101
T6,69,20,7,74
T6,69,20,8,53
T6,69,20,9,28
T6,70,10,1,34
T6,70,10,2,57
T6,70,10,3,70
T6,70,10,4,93
T6,70,10,5,142
T6,70,10,6,154
T6,70,10,7,142
T6,70,10,8,116
T6,70,10,9,104